corpus_snapshot_id,document_kind,document_title,file_size_bytes,official_retrieval_url,original_file_name,original_retrieval_date,page_count,publisher,rebuild_instruction,redistribution,source_document_id,source_sha256,source_status,version
cs-f61b3d4e90089c1b890c23cb,guideline,S3-Leitlinie Prophylaxe der venösen Thromboembolie (VTE),3805273,https://register.awmf.org/de/leitlinien/detail/003-001,003-001l_S3_Prophylaxe-venoese-Thromboembolie-VTE_2026-04.pdf,2026-08-13,294,AWMF / beteiligte Fachgesellschaften,"Download from the official page, verify SHA-256, place under source_pdfs/, then follow REPRODUCIBILITY.md.",excluded_source_document,src-003-001l-s3-prophylaxe-venoese-thromboembolie-vte-2026-04-f82c5686f6b7,f82c5686f6b71d42a7a43dccc9e28cd70834244ac2376fc011cbb681a757158e,final,4.1
cs-f61b3d4e90089c1b890c23cb,guideline,S3-Leitlinie Exokrines Pankreaskarzinom,6573095,https://www.leitlinienprogramm-onkologie.de/leitlinien/pankreaskarzinom/,032-010OLl_Exokrines-Pankreaskarzinom_2025-06.pdf,2026-08-13,282,"Leitlinienprogramm Onkologie (AWMF, DKG, Deutsche Krebshilfe)","Download from the official page, verify SHA-256, place under source_pdfs/, then follow REPRODUCIBILITY.md.",excluded_source_document,src-032-010oll-exokrines-pankreaskarzinom-2025-06-44df7e615f31,44df7e615f31f7386706169183909bec7a479081012914359d66cf887f051587,final,3.1
cs-f61b3d4e90089c1b890c23cb,medicinal_product_information,"5-FU medac 50 mg/ml, Injektionslösung – Fachinformation",95907,https://www.medac.de/therapiegebiete/produkte/5-fu-medac,5-fu-medac-50-mg-ml-injektionsloesung.pdf,2026-08-13,7,medac GmbH,"Download from the official page, verify SHA-256, place under source_pdfs/, then follow REPRODUCIBILITY.md.",excluded_source_document,src-5-fu-medac-50-mg-ml-injektionsloesung-1c24cd77ce94,1c24cd77ce94e05b0cf0719cc4d75afe2b4a7703059f709cba67457cf33c928a,current_at_snapshot,Stand der Information 11.2024
cs-f61b3d4e90089c1b890c23cb,guideline,Diagnostik und Therapie des Hepatozellulären Karzinoms und biliärer Karzinome,7128923,https://www.leitlinienprogramm-onkologie.de/leitlinien/hcc-und-biliaere-karzinome/,S3_LL_HCC_und_BCC_Konsultationsfassung_Langversion_6.01 (1).pdf,2026-08-13,282,"Leitlinienprogramm Onkologie (AWMF, DKG, Deutsche Krebshilfe)","Download from the official page, verify SHA-256, place under source_pdfs/, then follow REPRODUCIBILITY.md.",excluded_source_document,src-s3-ll-hcc-und-bcc-konsultationsfassung-langversion-6-01-1-c1996068a815,c1996068a81551f2fd14a9f4c5384d0d7d82e5a412d0e6b5d4343e495a9118b1,consultation_draft,Konsultationsfassung 6.01
cs-f61b3d4e90089c1b890c23cb,medicinal_product_information,"Abraxane, INN-paclitaxel – EPAR product information",631310,https://www.ema.europa.eu/en/medicines/human/EPAR/abraxane,abraxane-epar-product-information_de.pdf,2026-08-13,51,European Medicines Agency,"Download from the official page, verify SHA-256, place under source_pdfs/, then follow REPRODUCIBILITY.md.",excluded_source_document,src-abraxane-epar-product-information-de-0af3b0c0c510,0af3b0c0c51064a253c8368585eaebc833c912bdea92b4d03c1b42be50a1a562,current_at_snapshot,SHA-256-gefrorene Fassung am Corpus Snapshot
cs-f61b3d4e90089c1b890c23cb,medicinal_product_information,Cisplatin Teva 1 mg/ml Konzentrat – Fachinformation,138204,https://www.teva.de/produkte/details.html?tx_kfiexensioproductsdb_productsviewing%5Baction%5D=viewDetail&tx_kfiexensioproductsdb_productsviewing%5Bcontroller%5D=Products&tx_kfiexensioproductsdb_productsviewing%5Bpzn%5D=6559642,cisplatin-teva-r-1-mg-ml-konzentrat.pdf,2026-08-13,12,Teva GmbH,"Download from the official page, verify SHA-256, place under source_pdfs/, then follow REPRODUCIBILITY.md.",excluded_source_document,src-cisplatin-teva-r-1-mg-ml-konzentrat-661ce7c738c4,661ce7c738c450ccbbab5e54a4a1fd82cc173451a206f4a0bc245d1a48defe60,current_at_snapshot,Version 5; Stand Februar 2025
cs-f61b3d4e90089c1b890c23cb,medicinal_product_information,"Eliquis, INN-apixaban – EPAR product information",2455435,https://www.ema.europa.eu/en/medicines/human/EPAR/eliquis,eliquis-epar-product-information_de.pdf,2026-08-13,204,European Medicines Agency,"Download from the official page, verify SHA-256, place under source_pdfs/, then follow REPRODUCIBILITY.md.",excluded_source_document,src-eliquis-epar-product-information-de-030922bd0124,030922bd0124b6db2d0b5261cbe8c92ad4663170762a56191c4134baf87f6e39,current_at_snapshot,SHA-256-gefrorene Fassung am Corpus Snapshot
cs-f61b3d4e90089c1b890c23cb,medicinal_product_information,"Enhertu, INN-trastuzumab deruxtecan – EPAR product information",1522334,https://www.ema.europa.eu/en/medicines/human/EPAR/enhertu,enhertu-epar-product-information_de.pdf,2026-08-13,59,European Medicines Agency,"Download from the official page, verify SHA-256, place under source_pdfs/, then follow REPRODUCIBILITY.md.",excluded_source_document,src-enhertu-epar-product-information-de-2aebd083c6f9,2aebd083c6f91390cfa4e6bd71470b5e7913b5f740583c2f4a9727f4d21b4f42,current_at_snapshot,SHA-256-gefrorene Fassung am Corpus Snapshot
cs-f61b3d4e90089c1b890c23cb,medicinal_product_information,"Keytruda, INN-pembrolizumab – EPAR product information",10361122,https://www.ema.europa.eu/en/medicines/human/EPAR/keytruda,keytruda-epar-product-information_de.pdf,2026-08-13,393,European Medicines Agency,"Download from the official page, verify SHA-256, place under source_pdfs/, then follow REPRODUCIBILITY.md.",excluded_source_document,src-keytruda-epar-product-information-de-9ad38681767f,9ad38681767fde22dd61e81f97fe62136e5106b058849e5419703dd58b7ed837,current_at_snapshot,SHA-256-gefrorene Fassung am Corpus Snapshot
cs-f61b3d4e90089c1b890c23cb,medicinal_product_information,"Lixiana, INN-edoxaban – EPAR product information",881599,https://www.ema.europa.eu/en/medicines/human/EPAR/lixiana,lixiana-epar-product-information_de.pdf,2026-08-13,73,European Medicines Agency,"Download from the official page, verify SHA-256, place under source_pdfs/, then follow REPRODUCIBILITY.md.",excluded_source_document,src-lixiana-epar-product-information-de-e98bd4b20729,e98bd4b20729c5c2b07bd2c99bc64d1f5465b4f57da2f9d68197ee970b8eec2b,current_at_snapshot,SHA-256-gefrorene Fassung am Corpus Snapshot
