model_config_id,coverage_stratum,analysis_period,metric,questions_expected,questions_paired,rag_n,rag_mean,rag_standard_deviation,rag_median,rag_iqr,rag_p50,rag_p95,web_n,web_mean,web_standard_deviation,web_median,web_iqr,web_p50,web_p95,paired_difference_rag_minus_web_n,paired_difference_rag_minus_web_mean,paired_difference_rag_minus_web_standard_deviation,paired_difference_rag_minus_web_median,paired_difference_rag_minus_web_iqr,paired_difference_rag_minus_web_p50,paired_difference_rag_minus_web_p95,paired_difference_ci95_low,paired_difference_ci95_high,paired_ratio_rag_over_web_mean,paired_ratio_ci95_low,paired_ratio_ci95_high,bootstrap_resamples,bootstrap_cluster
gpt55_medium,all_prespecified_80_20,mean_of_two_runs,total_estimated_cost_usd,100,100,100,0.04469835,0.021635446069675532,0.046095,0.03319249999999999,0.046095,0.07731350000000001,100,0.14025549,0.06734539081136327,0.118029,0.09892187500000002,0.118029,0.280448125,100,-0.09555714,0.07228904018633123,-0.07639125000000001,0.10458949999999999,-0.07639125000000001,-0.004176124999999993,-0.10951643274999999,-0.08183516487500002,0.40062054094303784,0.345711859077155,0.460650719282632,10000,question_id
gpt55_medium,all_prespecified_80_20,mean_of_two_runs,end_to_end_ms,100,100,100,10419.36786158767,4952.9808443921265,10292.88039149833,6902.039453110774,10292.88039149833,17346.402817242775,100,22855.335885976092,7379.121888762636,21697.095215757145,9516.799605888082,21697.095215757145,34894.7556707164,100,-12435.968024388421,8645.628652523914,-10745.48347145901,10519.298820014228,-10745.48347145901,-2117.2465918352855,-14149.436107749745,-10786.060216779486,0.5002336468402735,0.4483029383572818,0.5571075158462929,10000,question_id
gpt55_medium,all_prespecified_80_20,mean_of_two_runs,api_wall_ms,100,100,100,9881.065202975878,4941.45683689481,9803.004867979325,6927.1431334200315,9803.004867979325,16745.06709166744,100,22642.707081378903,7377.34439723061,21513.503406516975,9506.878265310661,21513.503406516975,34684.92660321644,100,-12761.641878403025,8640.25151754834,-11095.233132014982,10521.465527068358,-11095.233132014982,-2466.566539747876,-14460.114444561797,-11069.874555285263,0.47937737913068973,0.428717236519638,0.5362074001340322,10000,question_id
gpt55_medium,all_prespecified_80_20,mean_of_two_runs,time_to_first_token_ms,100,100,100,4404.877019805135,2300.5947792699517,4273.702828533715,3957.32321345713,4273.702828533715,7350.335799905588,100,14020.368642052053,5710.394652292954,13151.57097656629,8027.0025466015795,13151.57097656629,24200.25070844858,100,-9615.491622246918,6088.356096604518,-8105.550730979303,9495.994317927398,-8105.550730979303,-1970.883520459757,-10840.597856011023,-8459.994952133755,0.36247453253596384,0.3188512235223311,0.40736788864353485,10000,question_id
gpt55_medium,all_prespecified_80_20,mean_of_two_runs,total_tokens,100,100,100,5406.45,3142.6929113180126,5192.25,4376.0,5192.25,11077.125,100,19722.14,8770.72324341187,16638.5,12472.375,16638.5,38012.7,100,-14315.69,9832.278981682546,-11971.25,12824.75,-11971.25,-2452.8250000000066,-16284.86625,-12462.460500000001,0.3379350262909142,0.28758846588568826,0.38963959349365834,10000,question_id
gpt55_medium,all_prespecified_80_20,mean_of_two_runs,input_tokens,100,100,100,4598.43,2933.029599478011,4362.5,4203.25,4362.5,10301.699999999999,100,18175.35,8455.721663226599,15162.25,11814.5,15162.25,36021.325,100,-13576.92,9457.189053387649,-10776.25,12601.375,-10776.25,-2365.4750000000067,-15480.53475,-11813.297375,0.31851151831910185,0.26926043288596385,0.3715435031343901,10000,question_id
gpt55_medium,all_prespecified_80_20,mean_of_two_runs,output_tokens,100,100,100,808.02,390.493742884983,832.0,738.625,832.0,1431.075,100,1546.79,442.32989185937146,1525.25,565.5,1525.25,2259.875,100,-738.77,557.1874510939434,-641.75,746.0,-641.75,-18.150000000000333,-845.9768750000001,-633.44925,0.5709483967520924,0.5052882302739647,0.6462180741757372,10000,question_id
gpt55_medium,all_prespecified_80_20,mean_of_two_runs,reasoning_tokens,100,100,100,281.275,179.2447451436615,277.5,332.5,277.5,516.0,100,741.71,293.28638725569067,714.25,377.75,714.25,1236.35,100,-460.435,331.8558593559693,-404.25,488.75,-404.25,-8.075000000000024,-527.2655,-395.69425,0.4701724860747646,0.3769936834518682,0.5966115232083999,10000,question_id
gpt55_medium,all_prespecified_80_20,mean_of_two_runs,local_retrieval_ms,100,0,100,260.42903356603347,42.54396812406233,272.92002277681604,60.49394990259316,272.92002277681604,305.98148629360367,0,,,,,,,0,,,,,,,,,,,,10000,question_id
gpt55_medium,all_prespecified_80_20,1_primary,total_estimated_cost_usd,100,100,100,0.04711725,0.02296592401463437,0.0468775,0.038307499999999994,0.0468775,0.07913199999999998,100,0.14650638,0.07389845949116446,0.132164,0.09966749999999999,0.132164,0.2819857499999999,100,-0.09938912999999999,0.07952365883088891,-0.081234,0.12582875000000002,-0.081234,0.0007212499999999934,-0.11478037875,-0.083870638,0.4168825389765027,0.3585856230465363,0.4793643353513973,10000,question_id
gpt55_medium,all_prespecified_80_20,1_primary,end_to_end_ms,100,100,100,10500.945212407969,6274.219523185542,10570.060724567156,7285.188207752071,10570.060724567156,18586.56204494764,100,23650.20686603617,8119.413947458547,22781.44833748229,9353.210898785619,22781.44833748229,39126.55506723676,100,-13149.2616536282,9883.246685446502,-11845.404282445088,10270.675305946497,-11845.404282445088,-1468.5802194813737,-15034.84096067326,-11155.930759706622,0.49120060540165583,0.43038146930000887,0.5641986869116619,10000,question_id
gpt55_medium,all_prespecified_80_20,1_primary,api_wall_ms,100,100,100,10038.384070402244,6258.361240982495,10103.179492987692,7336.445640597958,10103.179492987692,18028.353995271027,100,23513.516279564938,8107.889737168309,22672.212397505064,9363.36601327639,22672.212397505064,39015.31773907481,100,-13475.132209162693,9876.637592375542,-12161.26650647493,10237.220303737558,-12161.26650647493,-1832.1302122611094,-15326.309879101027,-11499.572145218815,0.472476124423981,0.4130277626286289,0.5447137102647522,10000,question_id
gpt55_medium,all_prespecified_80_20,1_primary,time_to_first_token_ms,100,100,100,4462.209506803192,2591.0251167966085,4140.28472697828,4210.923813923728,4140.28472697828,7968.188937561354,100,14654.03471810976,6440.38530589417,13038.358352496289,8030.238706734963,13038.358352496289,27738.634242769327,100,-10191.825211306568,6875.27378200471,-8905.926413077395,8343.32793430076,-8905.926413077395,-282.00118928216415,-11570.083854231256,-8882.419156477496,0.3614078867377069,0.312696330502882,0.41440857980973456,10000,question_id
gpt55_medium,all_prespecified_80_20,1_primary,total_tokens,100,100,100,5402.6,3146.2916057935363,5188.0,4445.0,5188.0,11170.25,100,20575.86,9804.734024609405,17746.0,13866.25,17746.0,39321.45,100,-15173.26,10785.095241399615,-12056.0,16248.25,-12056.0,-2400.7500000000064,-17313.52825,-13090.574,0.33409678581759883,0.2840351320713157,0.38733948758932524,10000,question_id
gpt55_medium,all_prespecified_80_20,1_primary,input_tokens,100,100,100,4598.43,2933.029599478011,4362.5,4203.25,4362.5,10301.699999999999,100,19010.22,9487.659456963722,16012.5,13161.75,16012.5,36730.15,100,-14411.79,10401.815190556159,-11226.0,15076.75,-11226.0,-2124.250000000006,-16440.28975,-12427.504500000001,0.31552619253648223,0.2633609385984439,0.37013864208724384,10000,question_id
gpt55_medium,all_prespecified_80_20,1_primary,output_tokens,100,100,100,804.17,396.4742353456644,806.5,722.0,806.5,1383.9999999999998,100,1565.64,457.4575880324698,1547.5,565.25,1547.5,2399.5,100,-761.47,570.8474730387685,-664.0,672.0,-664.0,16.699999999999733,-874.34325,-652.20975,0.5662584710789295,0.49616631026427777,0.647457577154049,10000,question_id
gpt55_medium,all_prespecified_80_20,1_primary,reasoning_tokens,100,100,100,280.67,192.7404207683998,239.5,374.25,239.5,516.0,100,753.97,324.7993150400799,634.5,388.0,634.5,1369.55,100,-473.3,371.9592000000087,-424.5,455.0,-424.5,53.24999999999993,-548.3205,-402.55975,0.5193356683456862,0.374333026884132,0.7492075029878099,10000,question_id
gpt55_medium,all_prespecified_80_20,1_primary,local_retrieval_ms,100,0,100,260.36736179026775,43.5090828399497,270.9899065666832,57.05899093300104,270.9899065666832,311.44970052991994,0,,,,,,,0,,,,,,,,,,,,10000,question_id
gpt55_medium,covered_by_local_corpus,mean_of_two_runs,total_estimated_cost_usd,80,80,80,0.0522837125,0.0170644622217138,0.050739,0.025235749999999994,0.050739,0.077763,80,0.133423675,0.06379430936870269,0.113589,0.08658375000000001,0.113589,0.27563374999999996,80,-0.0811399625,0.0646496655001173,-0.0612365,0.08347275000000001,-0.0612365,-0.0030872500000000253,-0.0952631078125,-0.06737418796875,0.47593628219533035,0.4177219547628485,0.5388985663729476,10000,question_id
gpt55_medium,covered_by_local_corpus,mean_of_two_runs,end_to_end_ms,80,80,80,11705.388105183374,4679.988139486623,11378.123372240225,5715.290179592557,11378.123372240225,18150.57708847453,80,21465.28930760105,6752.016932410237,20585.733233514475,6627.790240003378,20585.733233514475,33985.747941059526,80,-9759.901202417677,6704.105012410364,-9923.076536273584,7617.4809889052995,-9923.076536273584,-1148.1709653162413,-11210.529273811208,-8288.789121360896,0.5756584768176984,0.5238512821262572,0.6352601387421201,10000,question_id
gpt55_medium,covered_by_local_corpus,mean_of_two_runs,api_wall_ms,80,80,80,11163.268471577612,4669.244939226847,10868.790796026587,5745.421013285522,10868.790796026587,17551.41929447709,80,21252.75078202685,6750.219759038401,20375.188543228433,6620.135489472887,20375.188543228433,33724.690072613885,80,-10089.482310449239,6706.844559268762,-10237.310007039923,7614.320772278006,-10237.310007039923,-1516.4377219625765,-11559.139838990286,-8585.93390507729,0.5541380623964284,0.5019716282231257,0.6127788416602646,10000,question_id
